data,Iphone X,Iphone 8 Plus,Iphone 7,Iphone 7 Plus,Galaxy S8,Galaxy S8 Plus,Galaxy S9,Galaxy S9 Plus,Dolar
2019-04-12,5009.99,4139.1,2574.525,3239.1,3265.78,3599.0,2609.1,2960.1,3.8892
2019-04-15,4999.0,4139.1,2599.9,3239.1,3273.75,3599.0,2699.1,2960.1,3.8688
2019-04-16,4949.495,4139.1,2815.12,3783.12,3273.75,3599.0,2744.72,2999.0,3.9018
2019-04-17,4999.0,4139.1,2815.12,3783.12,3249.9,3599.0,2789.2,3119.73,3.9343
2019-04-18,4999.99,4119.545,2879.1,3783.12,3249.9,3599.0,2699.0,2984.05,3.9298
2019-04-22,5019.0,4009.095,2474.1,3239.1,3249.9,3599.0,2744.55,3119.73,3.9328
2019-04-23,4999.99,3853.555,2474.1,3239.1,3249.9,3590.0,2744.55,3124.55,3.9224
2019-04-24,4999.99,4299.99,2474.1,3239.1,3199.0,3590.0,2744.55,3124.55,3.9863
2019-04-25,4959.495,4196.99,2419.12,3239.1,3249.9,3590.0,2744.55,3129.3,3.9561
2019-04-26,5009.495,4324.995,2339.1,3239.1,3249.9,3590.0,2744.55,3129.3,3.9317
2019-04-29,5009.495,4324.995,2370.57,3239.1,3249.9,3590.0,2744.55,3124.55,3.942
2019-04-30,4899.99,4350.0,2370.57,3239.1,3249.9,3590.0,2744.55,3124.55,3.9227
2019-05-02,5009.495,4139.1,2419.12,3239.1,3249.9,3590.0,2889.0,3143.33,3.9589
2019-05-03,4899.99,4139.1,2419.12,3167.12,3249.9,3590.0,2889.0,3134.05,3.9392
2019-05-06,4899.99,3909.15,2463.57,3167.12,3249.9,3590.0,2799.0,3143.33,3.958
2019-05-07,4899.99,3909.15,2471.575,3239.1,3305.39,3590.0,2859.12,3219.0,3.9694
2019-05-08,4899.99,3909.15,2474.1,3239.1,3311.78,3590.0,2888.52,3219.0,3.9332
2019-05-09,4899.99,3909.15,2474.1,3239.1,3311.78,3590.0,2799.0,3039.05,3.9536
2019-05-10,4899.99,3909.15,2564.05,3239.1,3311.78,3590.0,2799.0,3119.0,3.9443
2019-05-13,5019.0,3909.15,2564.05,3239.1,3249.9,3590.0,2889.0,3039.05,3.9792
2019-05-14,5009.0,3909.15,2564.05,3239.1,3249.9,3590.0,2889.0,3039.05,3.9758
2019-05-15,4899.99,3518.49,2569.565,3239.1,3299.0,3590.0,2889.0,3068.07,3.9962
2019-05-16,4899.99,3518.49,2535.55,3239.1,3299.0,3590.0,2799.0,3039.05,4.0366
2019-05-17,4799.99,3539.555,2535.55,3239.1,3277.9,3590.0,2799.0,3059.17,4.1019
2019-05-20,4899.99,3470.11,2535.55,3167.12,3199.0,3590.0,2799.0,3049.11,4.1049
